rank,bigram,pmi,frequency,message_count,contains_entity_term,network_score,first_seen,last_seen,example_message_id,example_timestamp,example_text,word_1,word_2
1,ariela karmel,14.78581,5,5,True,73.92905,2025-12-25 11:40:26+00:00,2026-03-16 12:43:07+00:00,6489,2025-12-25 11:40:26+00:00,Daily Briefing Dec. 25: Day 811 - Initial Knesset vote on contentious Oct. 7 probe bill sparks anger Political repor...,ariela,karmel
2,be'er sheva,14.78581,5,5,True,73.92905,2026-03-29 12:58:03+00:00,2026-04-08 21:23:37+00:00,16819,2026-03-29 12:58:03+00:00,"HAPPENING NOW: A massive fire is burning at the Neot Hovav industrial facility, south of Be’er Sheva, following an I...",be'er,sheva
3,ivan kesic,14.78581,5,5,True,73.92905,2026-04-12 15:24:45+00:00,2026-04-16 11:10:20+00:00,185178,2026-04-12 15:24:45+00:00,"✍️ Investigation - Geography, energy, asymmetric power: Strait of Hormuz as Iran's permanent strategic asset After f...",ivan,kesic
4,rossella tercatin,14.78581,5,5,True,73.92905,2025-12-28 13:39:36+00:00,2026-04-02 10:28:16+00:00,6505,2025-12-28 13:39:36+00:00,Daily Briefing Dec. 28: Day 814 - Will $35 billion gas deal with Egypt hike electricity costs? Tech editor Sharon Wr...,rossella,tercatin
5,yechiel leiter,14.522776,6,6,True,87.136654,2026-04-09 15:40:07+00:00,2026-04-15 15:33:51+00:00,74802,2026-04-09 15:40:07+00:00,"Senior Israeli official: The one who will lead the direct negotiations is Israeli Ambassador to Washington, Yechiel ...",yechiel,leiter
6,movie maven,14.522776,5,5,True,72.613878,2025-12-27 06:53:14+00:00,2026-04-08 08:12:16+00:00,6502,2025-12-27 06:53:14+00:00,The Reel Schmooze: Jack Black's mother was a rocket scientist?! Movie maven Jordan Hoffman and host Amanda Borschel-...,movie,maven
7,megyn kelly,14.522776,5,3,True,72.613878,2026-03-03 19:46:35+00:00,2026-04-17 12:20:08+00:00,7100,2026-03-03 19:46:35+00:00,"Isolationist US right-wing commentators decry Iran war; Trump says he doesn’t care Tucker Carlson, Megyn Kelly claim...",megyn,kelly
8,yad vashem,14.300383,7,7,True,100.102682,2026-01-28 02:56:04+00:00,2026-04-15 23:20:42+00:00,6724,2026-01-28 02:56:04+00:00,Counting the days: How Jews clung to the Hebrew calendar as Nazis tried to erase it A new exhibition at Yad Vashem h...,yad,vashem
9,zina rakhamilova,14.300383,7,7,True,100.102682,2026-01-13 18:01:07+00:00,2026-04-14 15:32:37+00:00,6641,2026-01-13 18:01:07+00:00,"On this episode of Off The Record, Zina Rakhamilova sits down with Or Shaked, U.S. Correspondent for Israel Hayom, I...",zina,rakhamilova
10,calvary chapel,14.300383,6,4,True,85.802299,2026-04-02 18:38:35+00:00,2026-04-16 20:07:01+00:00,74359,2026-04-02 18:38:35+00:00,"Join us for an in-depth look at the events foretold in Scripture, how they align with what we are witnessing in the ...",calvary,chapel
11,sam sokol,14.300383,5,5,True,71.501916,2025-12-25 11:40:26+00:00,2026-04-06 11:12:31+00:00,6489,2025-12-25 11:40:26+00:00,Daily Briefing Dec. 25: Day 811 - Initial Knesset vote on contentious Oct. 7 probe bill sparks anger Political repor...,sam,sokol
12,lion's roar,14.300383,5,3,True,71.501916,2026-02-28 08:20:29+00:00,2026-03-02 05:19:02+00:00,7073,2026-02-28 08:20:29+00:00,"Prime Minister Benjamin Netanyahu: “My brothers and sisters, citizens of Israel, a short while ago Israel and the Un...",lion's,roar
13,keir starmer,14.259741,5,5,True,71.298706,2026-02-28 15:06:04+00:00,2026-04-16 07:57:04+00:00,7139,2026-02-28 15:06:04+00:00,UK Prime Minister Keir Starmer Issues Statement On Iran,keir,starmer
14,candace owens,14.107738,5,3,True,70.538691,2026-03-22 09:11:46+00:00,2026-04-17 12:20:08+00:00,16617,2026-03-22 09:11:46+00:00,Candace Owens on the Iranian ballistic missile strike which wounded over a hundred Israeli civilians: “Iran has a ri...,candace,owens
15,gideon sa'ar,14.107738,6,6,True,84.646429,2026-01-05 12:28:13+00:00,2026-04-14 12:10:53+00:00,6562,2026-01-05 12:28:13+00:00,"Israel welcomed the ousting of Venezuelan dictator Nicolás Maduro, with Foreign Minister Gideon Sa’ar praising the U...",gideon,sa'ar
